Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
109.7561	-15.4667	109.7561	-15.4667	
110.1220	-15.4642	110.1220	-15.4642	
110.4878	-15.4568	110.4878	-15.4568	
110.8537	-15.4469	110.8537	-15.4469	
111.2195	-15.4346	111.2195	-15.4346	
111.5854	-15.4284	111.5854	-15.4284	
111.9512	-15.4285	111.9512	-15.4285	
112.3171	-15.4318	112.3171	-15.4318	
112.6829	-15.4356	112.6829	-15.4356	
113.0488	-15.4368	113.0488	-15.4368	
113.4146	-15.4325	113.4146	-15.4325	
113.7805	-15.4197	113.7805	-15.4197	
114.1464	-15.4000	114.1464	-15.4000	
114.5122	-15.3753	114.5122	-15.3753	
114.8781	-15.3111	114.8781	-15.3111	
115.2439	-15.2444	115.2439	-15.2444	
115.6098	-15.1753	115.6098	-15.1753	
115.9756	-15.1062	115.9756	-15.1062	
116.3415	-15.0662	116.3415	-15.0662	
116.7073	-15.0548	116.7073	-15.0548	
117.0732	-15.0620	117.0732	-15.0620	
117.4390	-15.0779	117.4390	-15.0779	
117.8049	-15.0923	117.8049	-15.0923	
118.1707	-15.0953	118.1707	-15.0953	
118.5366	-15.0770	118.5366	-15.0770	
118.9025	-15.0271	118.9025	-15.0271	
119.2683	-14.9481	119.2683	-14.9481	
119.6342	-14.8691	119.6342	-14.8691	
120.0000	-14.7629	120.0000	-14.7629	
120.3659	-14.6592	120.3659	-14.6592	
120.7317	-14.5926	120.7317	-14.5926	
121.0976	-14.5284	121.0976	-14.5284	
121.4634	-14.4884	121.4634	-14.4884	
121.8293	-14.4747	121.8293	-14.4747	
122.1951	-14.4788	122.1951	-14.4788	
122.5610	-14.4921	122.5610	-14.4921	
122.9268	-14.5060	122.9268	-14.5060	
123.2927	-14.5121	123.2927	-14.5121	
123.6586	-14.5019	123.6586	-14.5019	
124.0244	-14.4667	124.0244	-14.4667	
124.3903	-14.4099	124.3903	-14.4099	
124.7561	-14.3629	124.7561	-14.3629	
125.1220	-14.3037	125.1220	-14.3037	
125.4878	-14.2444	125.4878	-14.2444	
125.8537	-14.2123	125.8537	-14.2123	
126.2195	-14.1778	126.2195	-14.1778	
126.5854	-14.1592	126.5854	-14.1592	
126.9512	-14.1572	126.9512	-14.1572	
127.3171	-14.1625	127.3171	-14.1625	
127.6829	-14.1664	127.6829	-14.1664	
128.0488	-14.1596	128.0488	-14.1596	
128.4146	-14.1333	128.4146	-14.1333	
128.7805	-14.0864	128.7805	-14.0864	
129.1464	-14.0395	129.1464	-14.0395	
129.5122	-13.9876	129.5122	-13.9876	
129.8781	-13.9333	129.8781	-13.9333	
130.2439	-13.8592	130.2439	-13.8592	
